# book	sec	title	page	kind	path
wangdao-ds	2.1	2.1  线性表的定义和基本操作	25	kp	第2章 线性表 > 2.1  线性表的定义和基本操作
wangdao-ds	2.1.1	2.1.1  线性表的定义	25	kp	第2章 线性表 > 2.1  线性表的定义和基本操作 > 2.1.1  线性表的定义
wangdao-ds	2.1.2	2.1.2  线性表的基本操作	26	kp	第2章 线性表 > 2.1  线性表的定义和基本操作 > 2.1.2  线性表的基本操作
wangdao-ds	2.1.3	2.1.3  本节试题精选	26	ex	第2章 线性表 > 2.1  线性表的定义和基本操作 > 2.1.3  本节试题精选
wangdao-ds		单项选择题	26	ex	第2章 线性表 > 2.1  线性表的定义和基本操作 > 2.1.3  本节试题精选 > 单项选择题
wangdao-ds	2.1.4	2.1.4  答案与解析	26	ex	第2章 线性表 > 2.1  线性表的定义和基本操作 > 2.1.4  答案与解析
wangdao-ds		单项选择题	26	ex	第2章 线性表 > 2.1  线性表的定义和基本操作 > 2.1.4  答案与解析 > 单项选择题
wangdao-ds	2.2	2.2  线性表的顺序表示	27	kp	第2章 线性表 > 2.2  线性表的顺序表示
wangdao-ds	2.2.1	2.2.1  顺序表的定义	27	kp	第2章 线性表 > 2.2  线性表的顺序表示 > 2.2.1  顺序表的定义
wangdao-ds	2.2.2	2.2.2  顺序表上基本操作的实现	28	kp	第2章 线性表 > 2.2  线性表的顺序表示 > 2.2.2  顺序表上基本操作的实现
wangdao-ds		1．顺序表的初始化	28	kp	第2章 线性表 > 2.2  线性表的顺序表示 > 2.2.2  顺序表上基本操作的实现 > 1．顺序表的初始化
wangdao-ds		2．插入操作	29	kp	第2章 线性表 > 2.2  线性表的顺序表示 > 2.2.2  顺序表上基本操作的实现 > 2．插入操作
wangdao-ds		3．删除操作	29	kp	第2章 线性表 > 2.2  线性表的顺序表示 > 2.2.2  顺序表上基本操作的实现 > 3．删除操作
wangdao-ds		4．按值查找（顺序查找）	30	kp	第2章 线性表 > 2.2  线性表的顺序表示 > 2.2.2  顺序表上基本操作的实现 > 4．按值查找（顺序查找）
wangdao-ds	2.2.3	2.2.3  本节试题精选	30	ex	第2章 线性表 > 2.2  线性表的顺序表示 > 2.2.3  本节试题精选
wangdao-ds		一、单项选择题	30	ex	第2章 线性表 > 2.2  线性表的顺序表示 > 2.2.3  本节试题精选 > 一、单项选择题
wangdao-ds		二、综合应用题	32	ex	第2章 线性表 > 2.2  线性表的顺序表示 > 2.2.3  本节试题精选 > 二、综合应用题
wangdao-ds	2.2.4	2.2.4  答案与解析	33	ex	第2章 线性表 > 2.2  线性表的顺序表示 > 2.2.4  答案与解析
wangdao-ds		一、单项选择题	33	ex	第2章 线性表 > 2.2  线性表的顺序表示 > 2.2.4  答案与解析 > 一、单项选择题
wangdao-ds		二、综合应用题	34	ex	第2章 线性表 > 2.2  线性表的顺序表示 > 2.2.4  答案与解析 > 二、综合应用题
wangdao-ds	2.3	2.3  线性表的链式表示	42	kp	第2章 线性表 > 2.3  线性表的链式表示
wangdao-ds	2.3.1	2.3.1  单链表的定义	43	kp	第2章 线性表 > 2.3  线性表的链式表示 > 2.3.1  单链表的定义
wangdao-ds	2.3.2	2.3.2  单链表上基本操作的实现	43	kp	第2章 线性表 > 2.3  线性表的链式表示 > 2.3.2  单链表上基本操作的实现
wangdao-ds		1．单链表的初始化	43	kp	第2章 线性表 > 2.3  线性表的链式表示 > 2.3.2  单链表上基本操作的实现 > 1．单链表的初始化
wangdao-ds		2．求表长操作	44	kp	第2章 线性表 > 2.3  线性表的链式表示 > 2.3.2  单链表上基本操作的实现 > 2．求表长操作
wangdao-ds		3．按序号查找结点	44	kp	第2章 线性表 > 2.3  线性表的链式表示 > 2.3.2  单链表上基本操作的实现 > 3．按序号查找结点
wangdao-ds		4．按值查找表结点	44	kp	第2章 线性表 > 2.3  线性表的链式表示 > 2.3.2  单链表上基本操作的实现 > 4．按值查找表结点
wangdao-ds		5．插入结点操作	45	kp	第2章 线性表 > 2.3  线性表的链式表示 > 2.3.2  单链表上基本操作的实现 > 5．插入结点操作
wangdao-ds		6．删除结点操作	45	kp	第2章 线性表 > 2.3  线性表的链式表示 > 2.3.2  单链表上基本操作的实现 > 6．删除结点操作
wangdao-ds		7．采用头插法建立单链表	46	kp	第2章 线性表 > 2.3  线性表的链式表示 > 2.3.2  单链表上基本操作的实现 > 7．采用头插法建立单链表
wangdao-ds		8．采用尾插法建立单链表	47	kp	第2章 线性表 > 2.3  线性表的链式表示 > 2.3.2  单链表上基本操作的实现 > 8．采用尾插法建立单链表
wangdao-ds	2.3.3	2.3.3  双链表	48	kp	第2章 线性表 > 2.3  线性表的链式表示 > 2.3.3  双链表
wangdao-ds		1．双链表的插入操作	48	kp	第2章 线性表 > 2.3  线性表的链式表示 > 2.3.3  双链表 > 1．双链表的插入操作
wangdao-ds		2．双链表的删除操作	49	kp	第2章 线性表 > 2.3  线性表的链式表示 > 2.3.3  双链表 > 2．双链表的删除操作
wangdao-ds	2.3.4	2.3.4  循环链表	49	kp	第2章 线性表 > 2.3  线性表的链式表示 > 2.3.4  循环链表
wangdao-ds		1．循环单链表	49	kp	第2章 线性表 > 2.3  线性表的链式表示 > 2.3.4  循环链表 > 1．循环单链表
wangdao-ds		2．循环双链表	49	kp	第2章 线性表 > 2.3  线性表的链式表示 > 2.3.4  循环链表 > 2．循环双链表
wangdao-ds	2.3.5	2.3.5  静态链表	50	kp	第2章 线性表 > 2.3  线性表的链式表示 > 2.3.5  静态链表
wangdao-ds	2.3.6	2.3.6  顺序表和链表的比较	50	kp	第2章 线性表 > 2.3  线性表的链式表示 > 2.3.6  顺序表和链表的比较
wangdao-ds		1．存取（读/写）方式	50	kp	第2章 线性表 > 2.3  线性表的链式表示 > 2.3.6  顺序表和链表的比较 > 1．存取（读/写）方式
wangdao-ds		2．逻辑结构与物理结构	50	kp	第2章 线性表 > 2.3  线性表的链式表示 > 2.3.6  顺序表和链表的比较 > 2．逻辑结构与物理结构
wangdao-ds		3．查找、插入和删除操作	51	kp	第2章 线性表 > 2.3  线性表的链式表示 > 2.3.6  顺序表和链表的比较 > 3．查找、插入和删除操作
wangdao-ds		4．空间分配	51	kp	第2章 线性表 > 2.3  线性表的链式表示 > 2.3.6  顺序表和链表的比较 > 4．空间分配
wangdao-ds		1．基于存储的考虑	51	kp	第2章 线性表 > 2.3  线性表的链式表示 > 2.3.6  顺序表和链表的比较 > 1．基于存储的考虑
wangdao-ds		2．基于运算的考虑	51	kp	第2章 线性表 > 2.3  线性表的链式表示 > 2.3.6  顺序表和链表的比较 > 2．基于运算的考虑
wangdao-ds		3．基于环境的考虑	51	kp	第2章 线性表 > 2.3  线性表的链式表示 > 2.3.6  顺序表和链表的比较 > 3．基于环境的考虑
wangdao-ds	2.3.7	2.3.7  本节试题精选	51	ex	第2章 线性表 > 2.3  线性表的链式表示 > 2.3.7  本节试题精选
wangdao-ds		一、单项选择题	51	ex	第2章 线性表 > 2.3  线性表的链式表示 > 2.3.7  本节试题精选 > 一、单项选择题
wangdao-ds		二、综合应用题	55	ex	第2章 线性表 > 2.3  线性表的链式表示 > 2.3.7  本节试题精选 > 二、综合应用题
wangdao-ds	2.3.8	2.3.8  答案与解析	57	ex	第2章 线性表 > 2.3  线性表的链式表示 > 2.3.8  答案与解析
wangdao-ds		一、单项选择题	57	ex	第2章 线性表 > 2.3  线性表的链式表示 > 2.3.8  答案与解析 > 一、单项选择题
wangdao-ds		二、综合应用题	61	ex	第2章 线性表 > 2.3  线性表的链式表示 > 2.3.8  答案与解析 > 二、综合应用题
wangdao-ds		归纳总结	74	sum	第2章 线性表 > 归纳总结
wangdao-ds		思维拓展	74	sum	第2章 线性表 > 思维拓展
wangdao-ds		第3章 栈、队列和数组	75	kp	第3章 栈、队列和数组
wangdao-ds	3.1	3.1  栈	75	kp	第3章 栈、队列和数组 > 3.1  栈
wangdao-ds	3.1.1	3.1.1  栈的基本概念	75	kp	第3章 栈、队列和数组 > 3.1  栈 > 3.1.1  栈的基本概念
wangdao-ds		1．栈的定义	75	kp	第3章 栈、队列和数组 > 3.1  栈 > 3.1.1  栈的基本概念 > 1．栈的定义
wangdao-ds		2．栈的基本操作	76	kp	第3章 栈、队列和数组 > 3.1  栈 > 3.1.1  栈的基本概念 > 2．栈的基本操作
wangdao-ds	3.1.2	3.1.2  栈的顺序存储结构	76	kp	第3章 栈、队列和数组 > 3.1  栈 > 3.1.2  栈的顺序存储结构
wangdao-ds		1．顺序栈的实现	76	kp	第3章 栈、队列和数组 > 3.1  栈 > 3.1.2  栈的顺序存储结构 > 1．顺序栈的实现
wangdao-ds		2．顺序栈的基本操作	77	kp	第3章 栈、队列和数组 > 3.1  栈 > 3.1.2  栈的顺序存储结构 > 2．顺序栈的基本操作
wangdao-ds		3．共享栈	78	kp	第3章 栈、队列和数组 > 3.1  栈 > 3.1.2  栈的顺序存储结构 > 3．共享栈
wangdao-ds	3.1.3	3.1.3  栈的链式存储结构	78	kp	第3章 栈、队列和数组 > 3.1  栈 > 3.1.3  栈的链式存储结构
wangdao-ds	3.1.4	3.1.4  本节试题精选	79	ex	第3章 栈、队列和数组 > 3.1  栈 > 3.1.4  本节试题精选
wangdao-ds		一、单项选择题	79	ex	第3章 栈、队列和数组 > 3.1  栈 > 3.1.4  本节试题精选 > 一、单项选择题
wangdao-ds		二、综合应用题	81	ex	第3章 栈、队列和数组 > 3.1  栈 > 3.1.4  本节试题精选 > 二、综合应用题
wangdao-ds	3.1.5	3.1.5  答案与解析	81	ex	第3章 栈、队列和数组 > 3.1  栈 > 3.1.5  答案与解析
wangdao-ds		一、单项选择题	81	ex	第3章 栈、队列和数组 > 3.1  栈 > 3.1.5  答案与解析 > 一、单项选择题
wangdao-ds		二、综合应用题	85	ex	第3章 栈、队列和数组 > 3.1  栈 > 3.1.5  答案与解析 > 二、综合应用题
wangdao-ds	3.2	3.2  队列	88	kp	第3章 栈、队列和数组 > 3.2  队列
wangdao-ds	3.2.1	3.2.1  队列的基本概念	88	kp	第3章 栈、队列和数组 > 3.2  队列 > 3.2.1  队列的基本概念
wangdao-ds		1．队列的定义	88	kp	第3章 栈、队列和数组 > 3.2  队列 > 3.2.1  队列的基本概念 > 1．队列的定义
wangdao-ds		2．队列常见的基本操作	88	kp	第3章 栈、队列和数组 > 3.2  队列 > 3.2.1  队列的基本概念 > 2．队列常见的基本操作
wangdao-ds	3.2.2	3.2.2  队列的顺序存储结构	88	kp	第3章 栈、队列和数组 > 3.2  队列 > 3.2.2  队列的顺序存储结构
wangdao-ds		1．队列的顺序存储	88	kp	第3章 栈、队列和数组 > 3.2  队列 > 3.2.2  队列的顺序存储结构 > 1．队列的顺序存储
wangdao-ds		2．循环队列	89	kp	第3章 栈、队列和数组 > 3.2  队列 > 3.2.2  队列的顺序存储结构 > 2．循环队列
wangdao-ds		3．循环队列的操作（基于牺牲一个单元法）	90	kp	第3章 栈、队列和数组 > 3.2  队列 > 3.2.2  队列的顺序存储结构 > 3．循环队列的操作（基于牺牲一个单元法）
wangdao-ds	3.2.3	3.2.3  队列的链式存储结构	91	kp	第3章 栈、队列和数组 > 3.2  队列 > 3.2.3  队列的链式存储结构
wangdao-ds		1．队列的链式存储	91	kp	第3章 栈、队列和数组 > 3.2  队列 > 3.2.3  队列的链式存储结构 > 1．队列的链式存储
wangdao-ds		2．链式队列的基本操作	91	kp	第3章 栈、队列和数组 > 3.2  队列 > 3.2.3  队列的链式存储结构 > 2．链式队列的基本操作
wangdao-ds	3.2.4	3.2.4  双端队列	92	kp	第3章 栈、队列和数组 > 3.2  队列 > 3.2.4  双端队列
wangdao-ds	3.2.5	3.2.5  本节试题精选	94	ex	第3章 栈、队列和数组 > 3.2  队列 > 3.2.5  本节试题精选
wangdao-ds		一、单项选择题	94	ex	第3章 栈、队列和数组 > 3.2  队列 > 3.2.5  本节试题精选 > 一、单项选择题
wangdao-ds		二、综合应用题	96	ex	第3章 栈、队列和数组 > 3.2  队列 > 3.2.5  本节试题精选 > 二、综合应用题
wangdao-ds	3.2.6	3.2.6  答案与解析	96	ex	第3章 栈、队列和数组 > 3.2  队列 > 3.2.6  答案与解析
wangdao-ds		一、单项选择题	96	ex	第3章 栈、队列和数组 > 3.2  队列 > 3.2.6  答案与解析 > 一、单项选择题
wangdao-ds		二、综合应用题	99	ex	第3章 栈、队列和数组 > 3.2  队列 > 3.2.6  答案与解析 > 二、综合应用题
wangdao-ds	3.3	3.3  栈和队列的应用	102	kp	第3章 栈、队列和数组 > 3.3  栈和队列的应用
wangdao-ds	3.3.1	3.3.1  栈在括号匹配中的应用	102	kp	第3章 栈、队列和数组 > 3.3  栈和队列的应用 > 3.3.1  栈在括号匹配中的应用
wangdao-ds	3.3.2	3.3.2  栈在表达式求值中的应用	102	kp	第3章 栈、队列和数组 > 3.3  栈和队列的应用 > 3.3.2  栈在表达式求值中的应用
wangdao-ds		1．算术表达式	102	kp	第3章 栈、队列和数组 > 3.3  栈和队列的应用 > 3.3.2  栈在表达式求值中的应用 > 1．算术表达式
wangdao-ds		2．中缀表达式转后缀表达式	103	kp	第3章 栈、队列和数组 > 3.3  栈和队列的应用 > 3.3.2  栈在表达式求值中的应用 > 2．中缀表达式转后缀表达式
wangdao-ds		3．后缀表达式求值	104	kp	第3章 栈、队列和数组 > 3.3  栈和队列的应用 > 3.3.2  栈在表达式求值中的应用 > 3．后缀表达式求值
wangdao-ds	3.3.3	3.3.3  栈在递归中的应用	104	kp	第3章 栈、队列和数组 > 3.3  栈和队列的应用 > 3.3.3  栈在递归中的应用
wangdao-ds	3.3.4	3.3.4  队列在层次遍历中的应用	105	kp	第3章 栈、队列和数组 > 3.3  栈和队列的应用 > 3.3.4  队列在层次遍历中的应用
wangdao-ds	3.3.5	3.3.5  队列在计算机系统中的应用	106	kp	第3章 栈、队列和数组 > 3.3  栈和队列的应用 > 3.3.5  队列在计算机系统中的应用
wangdao-ds	3.3.6	3.3.6  本节试题精选	106	ex	第3章 栈、队列和数组 > 3.3  栈和队列的应用 > 3.3.6  本节试题精选
wangdao-ds		一、单项选择题	106	ex	第3章 栈、队列和数组 > 3.3  栈和队列的应用 > 3.3.6  本节试题精选 > 一、单项选择题
wangdao-ds		二、综合应用题	108	ex	第3章 栈、队列和数组 > 3.3  栈和队列的应用 > 3.3.6  本节试题精选 > 二、综合应用题
wangdao-ds	3.3.7	3.3.7  答案与解析	108	ex	第3章 栈、队列和数组 > 3.3  栈和队列的应用 > 3.3.7  答案与解析
wangdao-ds		一、单项选择题	108	ex	第3章 栈、队列和数组 > 3.3  栈和队列的应用 > 3.3.7  答案与解析 > 一、单项选择题
wangdao-ds		二、综合应用题	112	ex	第3章 栈、队列和数组 > 3.3  栈和队列的应用 > 3.3.7  答案与解析 > 二、综合应用题
wangdao-ds	3.4	3.4  数组和特殊矩阵	112	kp	第3章 栈、队列和数组 > 3.4  数组和特殊矩阵
wangdao-ds	3.4.1	3.4.1  数组的定义	112	kp	第3章 栈、队列和数组 > 3.4  数组和特殊矩阵 > 3.4.1  数组的定义
wangdao-ds	3.4.2	3.4.2  数组的存储结构	113	kp	第3章 栈、队列和数组 > 3.4  数组和特殊矩阵 > 3.4.2  数组的存储结构
wangdao-ds	3.4.3	3.4.3  特殊矩阵的压缩存储	113	kp	第3章 栈、队列和数组 > 3.4  数组和特殊矩阵 > 3.4.3  特殊矩阵的压缩存储
wangdao-ds		1．对称矩阵	113	kp	第3章 栈、队列和数组 > 3.4  数组和特殊矩阵 > 3.4.3  特殊矩阵的压缩存储 > 1．对称矩阵
wangdao-ds		2．三角矩阵	114	kp	第3章 栈、队列和数组 > 3.4  数组和特殊矩阵 > 3.4.3  特殊矩阵的压缩存储 > 2．三角矩阵
wangdao-ds		3．三对角矩阵	115	kp	第3章 栈、队列和数组 > 3.4  数组和特殊矩阵 > 3.4.3  特殊矩阵的压缩存储 > 3．三对角矩阵
wangdao-ds	3.4.4	3.4.4  稀疏矩阵	115	kp	第3章 栈、队列和数组 > 3.4  数组和特殊矩阵 > 3.4.4  稀疏矩阵
wangdao-ds	3.4.5	3.4.5  本节试题精选	116	ex	第3章 栈、队列和数组 > 3.4  数组和特殊矩阵 > 3.4.5  本节试题精选
wangdao-ds		单项选择题	116	ex	第3章 栈、队列和数组 > 3.4  数组和特殊矩阵 > 3.4.5  本节试题精选 > 单项选择题
wangdao-ds	3.4.6	3.4.6  答案与解析	117	ex	第3章 栈、队列和数组 > 3.4  数组和特殊矩阵 > 3.4.6  答案与解析
wangdao-ds		单项选择题	117	ex	第3章 栈、队列和数组 > 3.4  数组和特殊矩阵 > 3.4.6  答案与解析 > 单项选择题
wangdao-ds		归纳总结	120	sum	第3章 栈、队列和数组 > 归纳总结
wangdao-ds		思维拓展	120	sum	第3章 栈、队列和数组 > 思维拓展
wangdao-ds		第4章 串	121	kp	第4章 串
wangdao-ds	4.1	*4.1  串的定义和实现	121	kp	第4章 串 > *4.1  串的定义和实现
wangdao-ds	4.1.1	4.1.1  串的定义	121	kp	第4章 串 > *4.1  串的定义和实现 > 4.1.1  串的定义
wangdao-ds	4.1.2	4.1.2  串的基本操作	122	kp	第4章 串 > *4.1  串的定义和实现 > 4.1.2  串的基本操作
wangdao-ds	4.1.3	4.1.3  串的存储结构	122	kp	第4章 串 > *4.1  串的定义和实现 > 4.1.3  串的存储结构
wangdao-ds		1．定长顺序存储表示	122	kp	第4章 串 > *4.1  串的定义和实现 > 4.1.3  串的存储结构 > 1．定长顺序存储表示
wangdao-ds		2．堆分配存储表示	123	kp	第4章 串 > *4.1  串的定义和实现 > 4.1.3  串的存储结构 > 2．堆分配存储表示
wangdao-ds		3．块链存储表示	123	kp	第4章 串 > *4.1  串的定义和实现 > 4.1.3  串的存储结构 > 3．块链存储表示
wangdao-ds	4.2	4.2  串的模式匹配	123	kp	第4章 串 > 4.2  串的模式匹配
wangdao-ds	4.2.1	4.2.1  简单的模式匹配算法	123	kp	第4章 串 > 4.2  串的模式匹配 > 4.2.1  简单的模式匹配算法
wangdao-ds	4.2.2	4.2.2  串的模式匹配算法——KMP算法	124	kp	第4章 串 > 4.2  串的模式匹配 > 4.2.2  串的模式匹配算法——KMP算法
wangdao-ds		1．KMP算法的原理	125	kp	第4章 串 > 4.2  串的模式匹配 > 4.2.2  串的模式匹配算法——KMP算法 > 1．KMP算法的原理
wangdao-ds		2．next数组的手算方法	126	kp	第4章 串 > 4.2  串的模式匹配 > 4.2.2  串的模式匹配算法——KMP算法 > 2．next数组的手算方法
wangdao-ds		*3．next数组的推理公式	127	kp	第4章 串 > 4.2  串的模式匹配 > 4.2.2  串的模式匹配算法——KMP算法 > *3．next数组的推理公式
wangdao-ds		4．KMP算法的实现	128	kp	第4章 串 > 4.2  串的模式匹配 > 4.2.2  串的模式匹配算法——KMP算法 > 4．KMP算法的实现
wangdao-ds	4.2.3	4.2.3  KMP算法的进一步优化	129	kp	第4章 串 > 4.2  串的模式匹配 > 4.2.3  KMP算法的进一步优化
wangdao-ds	4.2.4	4.2.4  本节试题精选	130	ex	第4章 串 > 4.2  串的模式匹配 > 4.2.4  本节试题精选
wangdao-ds		一、单项选择题	130	ex	第4章 串 > 4.2  串的模式匹配 > 4.2.4  本节试题精选 > 一、单项选择题
wangdao-ds		二、综合应用题	130	ex	第4章 串 > 4.2  串的模式匹配 > 4.2.4  本节试题精选 > 二、综合应用题
wangdao-ds	4.2.5	4.2.5  答案与解析	131	ex	第4章 串 > 4.2  串的模式匹配 > 4.2.5  答案与解析
